time,mx,my,mz
14.495032,27.693562,-2.315063,-25.062958
14.519781,28.411671,-2.399147,-24.39267
14.548044,28.461769,-2.550503,-24.212837
14.571909,28.428364,-2.483231,-24.605209
14.597616,28.461769,-2.146885,-24.310928
14.624981,28.612072,-1.928257,-24.490768
14.649794,28.56197,-1.776901,-24.34362
14.674852,28.779072,-1.591911,-24.196487
14.701424,28.845875,-1.659184,-23.836823
14.727243,28.795773,-1.978714,-23.951263
14.753845,28.779072,-2.062805,-23.738724
14.781834,28.795773,-2.41597,-23.787773
14.805636,28.812473,-2.701866,-23.869514
14.831007,28.712273,-2.533691,-23.967606
14.858597,28.628773,-2.382332,-24.147446
14.883067,28.378265,-2.500053,-24.261887
14.908972,28.328167,-2.550507,-24.212837
14.942162,28.161163,-2.415966,-24.212837
14.962679,28.127766,-2.483238,-24.474411
14.98781,28.111069,-2.466423,-24.327263
15.013039,28.261368,-2.382336,-24.278214
15.038488,28.328171,-2.180527,-24.539803
15.065712,28.39497,-2.214165,-24.572502
15.091562,28.461773,-2.146893,-24.637894
15.116091,28.495171,-2.079624,-24.507111
15.143356,28.528572,-2.079624,-24.605209
15.167092,28.31147,-1.591919,-24.58886
15.193633,28.094368,-1.67601,-24.441719
15.219949,28.161167,-1.507835,-24.180145
15.245763,28.211269,-1.356476,-24.425369
15.272439,27.977463,-1.154667,-24.883133
15.297886,27.877258,-1.121033,-24.91584
15.324134,27.676857,-0.515606,-25.471695
15.350121,27.309448,-0.280163,-25.700577
15.374602,27.008846,-0.280163,-26.060249
15.400349,26.724941,0.005733,-25.978508
15.428057,26.324135,-0.061535,-26.338181
15.452752,25.87323,-0.313797,-26.550705
15.479166,25.171822,-0.448338,-27.10656
15.505367,24.052906,-0.22971,-27.744156
15.531013,22.683487,-0.296978,-28.36541
15.55643,21.314064,-0.330612,-29.313629
15.584348,19.543839,-0.22971,-29.902176
15.608316,17.690113,-0.280163,-30.441681
15.63394,15.669388,-0.397888,-31.210075
15.66044,13.832359,-0.599701,-32.125603
15.686147,11.744835,-0.683788,-32.468925
15.715651,10.158318,-0.364254,-33.237312
15.739457,8.571793,0.190723,-34.10379
15.764092,7.803581,0.493439,-34.071091
15.791328,7.052063,1.014778,-34.152824
15.815949,6.567749,1.334309,-34.299973
15.841574,6.217049,1.283859,-34.218216
15.867122,6.317253,1.048416,-33.989334
15.894287,6.300552,0.829788,-34.038383
15.919221,6.400749,0.76252,-33.940292
15.945981,6.751457,0.644802,-33.891243
15.972027,6.751457,0.678436,-33.989334
15.998077,6.918457,0.510262,-33.923943
16.030194,6.81826,0.644802,-33.956635
16.0493,6.718056,0.442993,-33.989326
16.075596,6.751457,0.342087,-34.12011
16.100373,7.018654,0.342087,-33.989326
16.12758,6.918457,0.409359,-34.054718
16.153489,7.319267,0.543896,-34.152817
16.178929,7.586464,0.409359,-33.956635
16.205513,7.586464,0.5439,-33.891243
16.231548,7.753471,0.274818,-33.629654
16.257377,7.870369,0.190731,-33.646004
16.282008,8.120872,-0.061531,-33.498871
16.307823,8.321274,-0.095165,-33.695053
16.333606,8.321266,-0.465149,-33.695053
16.361739,8.504967,-0.717407,-33.972969
16.385624,8.855675,-1.23875,-33.891228
16.41199,8.905777,-1.591919,-33.972969
16.438653,9.206375,-1.76009,-33.972969
16.463571,10.041389,-2.062805,-33.711395
16.490466,10.508995,-2.062805,-33.678703
16.515872,11.327309,-2.214157,-33.237297
